Provided by DonMortelli | diamondhand#5477
https://discord.com/channels/892203409418092615/892216846583988264/971418914263302224

Show Uptime Results for block  267126 : 
┌─────────┬────────────────────────────────────────┬──────────────────┬────────┬────────┬──────────────────────┬─────────────────────────────┐
│ (index) │                  name                  │ firstSignedBlock │ signed │ missed │     totalUptime      │ UptimeSinceFirstSignedBlock │
│   51    │                AxeKate                 │        12        │ 258844 │  8280  │   96.9003159581318   │      96.90466920243195      │
│   52    │                kjnodes                 │       1895       │ 258806 │  8318  │  96.88609035504109   │      97.57831911291753      │
│   53    │                 node75                 │       2643       │ 258584 │  8540  │  96.80298288435333   │      97.77035023309803      │
│   54    │                paranoia                │        12        │ 258172 │  8952  │  96.64874739821207   │      96.65308934080088      │
│   55    │                 danizo                 │        12        │ 256820 │ 10304  │  96.14261541456402   │      96.14693461918597      │
│   56    │                 mahof                  │       614        │ 255862 │ 11262  │  95.78398047348796   │      96.00465273348092      │
│   57    │             NodeStake.top              │       519        │ 254683 │ 12441  │   95.3426124197002   │      95.52821589992685      │
│   58    │                 lkskrn                 │        12        │ 254459 │ 12665  │   95.2587562330603   │      95.26303573033036      │
│   59    │              diamondhand               │      12821       │ 254173 │ 12951  │  95.15168985190398   │      99.94887987951381      │
│   60    │                  1ce                   │       472        │ 253523 │ 13601  │  94.90835716745781   │      95.07635419948096      │
│   61    │               skategoth                │        12        │ 253195 │ 13929  │   94.7855677513065   │      94.78982599059572      │
│   62    │                kokorin9                │        12        │ 252129 │ 14995  │  94.38650214881477   │      94.39074246009166      │
│   63    │                 SecorD                 │        12        │ 251623 │ 15501  │  94.19707701292283   │      94.20130881428015      │
│   64    │           MONIKER_Polleoalex           │        12        │ 251196 │ 15928  │   94.0372261571405   │      94.04145077720207      │
│   65    │                 Avatar                 │        12        │ 250639 │ 16485  │  93.82870876446893   │      93.8329240168918       │
│   66    │                landeros                │       4962       │ 250354 │ 16770  │  93.72201674128868   │      95.49591473974108      │
│   67    │               777stakes                │       4946       │ 250336 │ 16788  │  93.71527829771941   │      95.48322132291801      │
│   68    │                OleNodes                │       4992       │ 250105 │ 17019  │  93.62880160524699   │      95.41185356995712      │
│   69    │                NakoTurk                │       940        │ 245500 │ 21624  │  91.90488312543987   │      92.22943527785291      │
│   70    │                 tmnode                 │        12        │ 244202 │ 22922  │  91.41896647249966   │      91.42307346730959      │
│   71    │                BaroForo                │        12        │ 241974 │ 25150  │  90.58489690181338   │      90.58896642606847      │
│   72    │              BuilderNode               │       923        │ 239071 │ 28053  │  89.49813569727915   │      89.80845301107058      │
│   73    │               DragonDev                │        12        │ 237321 │ 29803  │  88.84300923915484   │      88.84700050914972      │
│   74    │               SaDriller                │        12        │ 236615 │ 30509  │   88.5787125080487   │      88.58269190451946      │
│   75    │              FreshArchway              │        12        │ 234412 │ 32712  │  87.75400188676419   │      87.75794423313067      │
│   76    │       Nick Kauffmann | Archway ⛩️      │      16752       │ 234312 │ 32812  │  87.71656608915708   │      93.5855447094723       │
│   77    │                 Ghost                  │        12        │ 230559 │ 36565  │  86.31160060496248   │      86.31547815148703      │
│   78    │                 qf3l3k                 │      26191       │ 225887 │ 41237  │  84.56260014075859   │      93.75511034187927      │
│   79    │                 Fastom                 │      41845       │ 225144 │ 41980  │  84.28445216453781   │      99.94007430785825      │
│   80    │               BwareLabs                │        12        │ 223355 │ 43769  │  83.61472574534672   │      83.61848213483484      │
│   81    │                 FedNet                 │       1021       │ 221979 │ 45145  │  83.09960917027297   │      83.4184507502734       │
│   82    │                 SACTE                  │      45286       │ 221787 │ 45337  │  83.02773243886733   │      99.9770102507235       │
│   83    │                Nochance                │      45565       │ 221388 │ 45736  │   82.878363606415    │      99.92281965526114      │
│   84    │              Monetka-Luck              │      45563       │ 221383 │ 45741  │  82.87649181653464   │      99.91966095116018      │
│   85    │                Solaris                 │      45563       │ 221367 │ 45757  │   82.8705020889175   │      99.91243946362401      │
│   86    │                 Volles                 │      45416       │ 221364 │ 45760  │  82.86937901498929   │      99.84484096198604      │
│   87    │               Conqueror                │      14076       │ 221320 │ 45804  │  82.85290726404216   │      87.4616673516487       │
│   88    │              Vik_Nov_Node              │      43812       │ 221298 │ 45826  │   82.8446713885686   │      99.09812280576055      │
│   89    │                 Donato                 │      45565       │ 221237 │ 45887  │  82.82183555202826   │      99.85466625142739      │
│   90    │               MapleSyrup               │      46678       │ 219297 │ 47827  │  82.09558107845045   │      99.47878391987153      │
│   91    │                 ericet                 │       9123       │ 217715 │ 49409  │  81.50334676030607   │      84.38533183979908      │
│   92    │                  BAT                   │      46450       │ 213212 │ 53912  │  79.81761279405818   │      96.61854137777898      │
│   93    │    Andrew | zValid & Testeverything    │        12        │ 212643 │ 54481  │  79.60460310567376   │      79.60817934050137      │
│   94    │               satoriwal                │      55267       │ 211698 │ 55426  │  79.25083481828663   │      99.92494937623019      │
│   95    │                 KJH91                  │      55267       │ 211542 │ 55582  │  79.19243497401955   │      99.85131480196547      │
│   96    │                 Oxyde                  │      55267       │ 211467 │ 55657  │  79.16435812581422   │      99.8159135643382       │
│   97    │                 ComeOn                 │      53051       │ 211138 │ 55986  │  79.04119435168685   │      98.62897235989593      │
│   98    │                 Alpha                  │      57591       │ 209209 │ 57915  │  78.31905781584582   │      99.84537041897936      │
│   99    │               Ttk69_MMS                │      57582       │ 209151 │ 57973  │   78.2973450532337   │      99.81340256368652      │
│   100   │                Hedcrab                 │      57931       │ 208729 │ 58395  │  78.13936598733171   │      99.77819525509936      │
